variable,unit,resolution,n_valid_pixels,min,max,mean,std,p5,p25,median,p75,p95
Elevation,m,native_1km,4160963,-46.86996841430664,8068.89990234375,736.5328979492188,1244.6048583984375,25.852502822875977,146.49501037597656,311.5899963378906,583.717529296875,4400.733398437498
Slope,deg,native_1km,4160963,0.0,69.62561798095703,5.716757297515869,9.160482406616211,0.457587069272995,0.7105299234390259,1.242792010307312,5.403489112854004,28.65251007080078
Elevation,m,comparison_025deg,5086,-0.21945402026176453,6163.24365234375,771.1874389648438,1306.3912353515625,13.558629989624023,130.84031677246094,304.91070556640625,580.7709503173828,4617.8016357421875
Slope,deg,comparison_025deg,5086,0.0,38.3632698059082,5.950808048248291,8.60082721710205,0.552252784371376,0.8631701171398163,1.867393434047699,5.850759029388428,27.791160583496094
